LM_ID	COMMON_NAME	Adduct	CATEGORY	MAIN_CLASS	SUB_CLASS	EXACT_MASS	FORMULA	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID
LMGP10030001	PA(P-16:0/12:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	576.415494	C31H61O7P	123067236	52929656	OJGJFNYIEMTDEB-IOTBMVGNSA-N					
LMGP10030002	PA(P-16:0/13:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	590.431144	C32H63O7P	123067237	52929657	MCCZZJYSWPILRB-SKETZCNGSA-N					
LMGP10030003	PA(P-16:0/14:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	604.446794	C33H65O7P	123067238	52929658	YDCJLKGNYPHJRU-GFMKPRQQSA-N					
LMGP10030004	PA(P-16:0/14:1(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	602.431144	C33H63O7P	123067239	52929659	SCKYVMUDCFXGAV-YRKBNYTQSA-N					
LMGP10030005	PA(P-16:0/15:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	618.462444	C34H67O7P	123067240	52929660	QLFNFPRJLGDKEH-OXNTXANNSA-N					
LMGP10030006	PA(P-16:0/15:1(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	616.446794	C34H65O7P	123067241	52929661	DBKOYURIRZUGJI-ICILOJFUSA-N					
LMGP10030007	PA(P-16:0/16:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	632.478094	C35H69O7P	123067242	52929662	KPHXCNNCZYQGLV-JEHWVFPESA-N					
LMGP10030008	PA(P-16:0/16:1(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	630.462444	C35H67O7P	123067243	52929663	QXUJUCDNIZRFCB-DZRJQAFYSA-N					
LMGP10030009	PA(P-16:0/17:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	646.493744	C36H71O7P	123067244	52929664	IQPPFDHSVKLRKE-UTLWLCATSA-N					
LMGP10030010	PA(P-16:0/17:1(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	644.478094	C36H69O7P	123067245	52929665	CIWIQKOTOJDYSP-YOBPBORLSA-N					
LMGP10030011	"PA(P-16:0/17:2(9Z,12Z))"	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	642.462444	C36H67O7P	123067246	52929666	SDJPJXUYYJHYFI-REFKTWKYSA-N					
LMGP10030012	PA(P-16:0/18:0)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	660.509394	C37H73O7P	123067247	52929667	IBLARTPXVRLQJO-CCNOWLMMSA-N					
LMGP10030089	PA(P-16:0/18:1(9Z))	[M-H]-	Glycerophospholipids [GP]	Glycerophosphates [GP10]	" 1-(1Z-alkenyl),2-acylglycerophosphates [GP1003] "	658.493744	C37H71O7P	123067324	52929744	KOHXPJXFLVIGIG-UCOBIXKMSA-N					
