LM_ID	COMMON_NAME	Adduct	CATEGORY	MAIN_CLASS	SUB_CLASS	EXACT_MASS	FORMULA	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID
XXX_LMGL02010323	DG(12:7/12:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	456.381476	C27H52O5	135638082	151838	OQQOAWVKVDAJOI-VWLOTQADSA-N						
XXX_LMGL02010331	DG(12:7/16:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	512.444076	C31H60O5	135638090	14275223	PMJWTCJLKHWHHE-LJAQVGFWSA-N						
XXX_LMGL02010322	DG(12:7/16:8(9Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	510.428426	C31H58O5	135638081	56936297	XQMKEZANBKLEQT-ISAPRFSOSA-N						
XXX_LMGL02010332	DG(12:7/17:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	526.459726	C32H62O5	135638091	657009	UOYOFKCILLNWTE-PMERELPUSA-N						
XXX_LMGL02010333	DG(12:7/17:8(9Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	524.444076	C32H60O5	135638092	56936301	YQPGNSRZZOMXBA-LASMYOKNSA-N						
XXX_LMGL02010334	DG(12:7/17:9(9Z,12Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	522.428426	C32H58O5	135638093	56936302	GZCNJZBJTMDVCJ-UQYJLNGWSA-N						
XXX_LMGL02010335	DG(12:7/18:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	540.475376	C33H64O5	135638094	56936303	OKDHBEDQKMJTGE-HKBQPEDESA-N						
XXX_LMGL02010336	DG(12:7/18:8(9Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	538.459726	C33H62O5	135638095	56936304	GFDAVCSAIGBIQQ-WQUIGTGHSA-N						
XXX_LMGL02010337	DG(12:7/18:9(9Z,12Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	536.444076	C33H60O5	135638096	56936305	STQYAPOZIUJNAD-IZQILMHSSA-N						
XXX_LMGL02010338	DG(12:7/18:10(9Z,12Z,15Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	534.428426	C33H58O5	135638097	56936306	OVXBYAVUHYYCHZ-RZPBQJGJSA-N						
XXX_LMGL02010339	DG(12:7/19:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	554.491026	C34H66O5	135638098	56936307	RGCGPOOGPUNXCH-YTTGMZPUSA-N						
XXX_LMGL02010340	DG(12:7/20:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	568.506676	C35H68O5	135638099	56936308	FPFLGKVHJYXPLJ-XIFFEERXSA-N						
XXX_LMGL02010341	DG(12:7/20:8(11Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	566.491026	C35H66O5	135638100	56936309	FWHSISWHFVYSNM-WZCSSZMCSA-N						
XXX_LMGL02010342	DG(12:7/20:9(11Z,14Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	564.475376	C35H64O5	135638101	56936310	ROMBWMLCYZZIBF-JXLXOFGUSA-N						
XXX_LMGL02010343	DG(12:7/20:10(8Z,11Z,14Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	562.459726	C35H62O5	135638102	56936311	SUQRBKXXQNFNOV-QPXDZMGPSA-N						
XXX_LMGL02010344	DG(12:7/20:11(5Z,8Z,11Z,14Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	560.444076	C35H60O5	135638103	56936312	DWUDFDDHOLUNTE-XYLBKDMLSA-N						
XXX_LMGL02010345	DG(12:7/20:12(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	558.428426	C35H58O5	135638104	56936313	QZPACLQYECQLMP-DOPDOVNOSA-N						
XXX_LMGL02010346	DG(12:7/21:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	582.522326	C36H70O5	135638105	56936314	DSPPAIXHNWKXQB-UMSFTDKQSA-N						
XXX_LMGL02010347	DG(12:7/22:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	596.537976	C37H72O5	135638106	56936315	UTGRKYOKBZCAHD-DHUJRADRSA-N						
XXX_LMGL02010348	DG(12:7/22:8(11Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	594.522326	C37H70O5	135638107	56936316	KQDJHAGWRRQESY-OZKTZCCCSA-N						
XXX_LMGL02010349	DG(12:7/22:9(13Z,16Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	592.506676	C37H68O5	135638108	56936317	SVNZLXUMQGBAGT-LZGNNYHSSA-N						
XXX_LMGL02010350	DG(12:7/22:10(10Z,13Z,16Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	590.491026	C37H66O5	135638109	56936318	MNZUTDHFQFBFJK-PFILCAEUSA-N						
XXX_LMGL02010351	DG(12:7/22:11(7Z,10Z,13Z,16Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	588.475376	C37H64O5	135638110	56936319	FOHKRLPKUKMHMX-BCSABKBQSA-N						
XXX_LMGL02010352	DG(12:7/22:12(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	586.459726	C37H62O5	135638111	56936320	JVQNFGHRGHGHFJ-HFHUFTLQSA-N						
XXX_LMGL02010353	DG(12:7/22:13(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	584.444076	C37H60O5	135638112	56936321	YMDAKYHPHHIDDO-QZXJYXSHSA-N						
XXX_LMGL02010324	DG(13:7/13:7/0:0)	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	484.412776	C29H56O5	135638083	56936298	QXGRLCRBRMPOQO-MHZLTWQESA-N						
XXX_LMGL02010354	DG(13:7/16:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	526.459726	C32H62O5	135638113	56936322	LZDQYCRTXJPPHT-PMERELPUSA-N						
XXX_LMGL02010355	DG(13:7/16:8(9Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	524.444076	C32H60O5	135638114	56936323	VLXCLCWPZGQMPU-LZMJFPNPSA-N						
XXX_LMGL02010356	DG(13:7/17:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	540.475376	C33H64O5	135638115	5288550	DUQCMPCUGCLYPR-HKBQPEDESA-N						
XXX_LMGL02010357	DG(13:7/17:8(9Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	538.459726	C33H62O5	135638116	56936324	LVHDBXMHHGBRLV-WQUIGTGHSA-N						
XXX_LMGL02010358	DG(13:7/17:9(9Z,12Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	536.444076	C33H60O5	135638117	56936325	ZPNBGFHVPIYORE-OUIASKFUSA-N						
XXX_LMGL02010359	DG(13:7/18:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	554.491026	C34H66O5	135638118	56936326	QFWVKTKJTNQBOH-YTTGMZPUSA-N						
XXX_LMGL02010360	DG(13:7/18:8(9Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	552.475376	C34H64O5	135638119	56936327	OUUNAURDSADCTO-FTIXDTTBSA-N						
XXX_LMGL02010361	DG(13:7/18:9(9Z,12Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	550.459726	C34H62O5	135638120	56936328	HDAUCJLPCSEZAQ-ILFYFWIOSA-N						
XXX_LMGL02010362	DG(13:7/18:10(9Z,12Z,15Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	548.444076	C34H60O5	135638121	56936329	KDMCZYPOBRIEHO-WUPJKINLSA-N						
XXX_LMGL02010363	DG(13:7/19:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	568.506676	C35H68O5	135638122	56936330	YQTMVDKIYRAEPR-XIFFEERXSA-N						
XXX_LMGL02010364	DG(13:7/20:7/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	582.522326	C36H70O5	135638123	56936331	STOKGDQWQBTZCN-UMSFTDKQSA-N						
XXX_LMGL02010365	DG(13:7/20:8(11Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	580.506676	C36H68O5	135638124	56936332	WYYSAZIGSLWVEP-MAOANKDLSA-N						
XXX_LMGL02010366	DG(13:7/20:9(11Z,14Z)/0:0)[iso2]	[M+NH4]+	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	578.491026	C36H66O5	135638125	56936333	QIXNSNYDIDPUNY-HEVGVMPESA-N						
