LipidClass	LipidSubClass	Category	MainClass	SubClass	C	H	N	O	S	P	Example	Formula-NoAdduct	IonizationMode	NumChains	ContainsEther	ContainsDiether	ContainsPlasmalogen	ContainsLCB	ContainsLCB+OH	 ContainsLCB-OH	IsOxoCHO	IsOxoCOOH	NumOH	ContainsOOH	ContainsF2IsoP
anandamide	anandamide	Fatty Acyls [FA]	Fatty amides [FA08]	N-acyl ethanolamines (endocannabinoids) [FA0804]	X+2	2X+5-2Y	1	2			Anandamide (20:4, n-6)	C22H37NO2	pos	1	0	0	0	0	0	0	0	0	0	0	0
carnitine	carnitine	Fatty Acyls [FA]	Fatty esters [FA07]	Fatty acyl carnitines [FA0707]	X+7	2X+13-2Y	1	4			carnitine(18:0)	C25H49NO4	pos	1	0	0	0	0	0	0	0	0	0	0	0
FAHFA	FAHFA	Fatty Acyls [FA]	Fatty esters [FA07]	Wax monoesters [FA0701]	X	2X-2-2Y		4			FAHFA(16:0/5-O-18:0)	C34H66O4	pos	2	0	0	0	0	0	0	0	0	1	0	0
WE	WE	Fatty Acyls [FA]	Fatty esters [FA07]	Wax monoesters [FA0701]	X	2X-2Y		2			WE(20:0/18:2(9Z,12Z))	C38H72O2	pos	2	0	0	0	0	0	0	0	0	0	0	0
MG	MG	Glycerolipids [GL]	Monoradylglycerols [GL01]	Monoacylglycerols [GL0101]	X+3	2X+6-2Y		4			MG(16:0/0:0/0:0)	C19H38O4	pos	1	0	0	0	0	0	0	0	0	0	0	0
DG	DG	Glycerolipids [GL]	Diradylglycerols [GL02]	Diacylglycerols [GL0201]	X+3	2X+4-2Y		5			DG(16:0/16:0/0:0)	C35H68O5	pos 	2	0	0	0	0	0	0	0	0	0	0	0
TG	TG	Glycerolipids [GL]	Triradylglycerols [GL03]	Triacylglycerols [GL0301]	X+3	2X+2-2Y		6			TG(16:0/16:0/16:0)	C51H98O6	pos	3	0	0	0	0	0	0	0	0	0	0	0
DGDG	DGDG	Glycerolipids [GL]	Glycosyldiradylglycerols [GL05]	Glycosyldiacylglycerols [GL0501]	X+15	2X+24-2Y		15			DGDG(18:5/18:4)	C51H78O15	pos 	2	0	0	0	0	0	0	0	0	0	0	0
MGDG	MGDG	Glycerolipids [GL]	Glycosyldiradylglycerols [GL05]	Glycosyldiacylglycerols [GL0501]	X+9	2X+14-2Y		10			MGDG(16:0/18:1(9Z))	C43H80O10	pos	2	0	0	0	0	0	0	0	0	0	0	0
SQDG	SQDG	Glycerolipids [GL]	Glycosyldiradylglycerols [GL05]	Glycosyldiacylglycerols [GL0501]	X+9	2X+14-2Y		12	1		SQDG(16:0/14:0)	C39H74O12S	pos	2	0	0	0	0	0	0	0	0	0	0	0
DGTSA	DGTS/A	Glycerolipids [GL]	Other Glycerolipids [GL00]		X+10	2X+17-2Y	1	7			DGTS/A(16:0/16:0)	C42H81NO7	pos 	2	0	0	0	0	0	0	0	0	0	0	0
